case_id,brand_name,brand_author_id,latest_customer_tweet_id,brand_reply_tweet_id,created_at,latest_customer_text,historical_brand_reply,conversation_context,source_tweet_ids,context_turn_count,gold_intent,gold_secondary_intent,gold_should_escalate,gold_escalation_reason,gold_reply_notes,labeler,label_version
twcs_622,AmazonHelp,AmazonHelp,624,622,Tue Oct 31 22:12:37 +0000 2017,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS","CUSTOMER: @115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?",624|622,1,product_technical_issue,,false,,Should explain that the issue is related to the supplied media and avoid promising a technical fix.,human,v1
twcs_626,AmazonHelp,AmazonHelp,628,626,Tue Oct 31 21:57:24 +0000 2017,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,"CUSTOMER: PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles - https://t.co/bqLHcBDqAb https://t.co/muLIqeHq0o
CUSTOMER: @115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away",630|628|626,2,delivery_issue,,false,,Should acknowledge the missing delivery estimate and provide only a supported delivery-date or tracking next step.,human,v1
twcs_620,AmazonHelp,AmazonHelp,621,620,Tue Oct 31 22:19:34 +0000 2017,@115823 I want my amazon payments account CLOSED.  dm me please.,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",CUSTOMER: @115823 I want my amazon payments account CLOSED.  dm me please.,621|620,1,account_issue,,true,Account support cannot be completed via Twitter; customer needs real-time phone or chat support.,"Should acknowledge the account-closure request, explain that Amazon cannot make account changes via Twitter, and direct the customer to the supported phone or chat channel. Avoid asking for sensitive account information or claiming the account has been closed.",human,v1
twcs_615,AmazonHelp,AmazonHelp,617,615,Tue Oct 31 22:16:32 +0000 2017,Way to drop the ball on customer service @115821 so pissed right now!,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",CUSTOMER: Way to drop the ball on customer service @115821 so pissed right now!,617|615,1,other,,false,,"Should acknowledge the customer's frustration, ask them to describe the issue without sharing personal information, and avoid guessing the problem or requesting sensitive account details.",human,v1
twcs_3730,AmazonHelp,AmazonHelp,3728,3730,Tue Oct 31 23:12:06 +0000 2017,@AmazonHelp All of them,@116611 Hmm.... Let's take a closer look into what's going on here: https://t.co/jzvkhdlrK5 ^ML,"CUSTOMER: @AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me
BRAND: @116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA
CUSTOMER: @AmazonHelp All of them",3729|3727|3728|3730,3,account_issue,,true,Customer still cannot access the account after repeated password resets and troubleshooting; account-level assistance may be required.,"Should acknowledge that the password reset steps did not resolve the login problem, provide the supported account-recovery next step, and avoid requesting or exposing passwords or other sensitive account information.",human,v1
twcs_28880,AmazonHelp,AmazonHelp,28456,28880,Wed Nov 01 10:57:17 +0000 2017,@121284 @AmazonHelp thanks for the reply,@122225 No worries at all. Do let us know if you have any other concerns. ^MS,"CUSTOMER: @121284 my echo plus is on the way...... I am an existing prime user.. what will happen to the membership that is coming along with
CUSTOMER: @121284 @AmazonHelp thanks for the reply",28455|28456|28880,2,prime_subscription,,false,,"Should acknowledge the customer's Prime membership question, clarify that the reply should address how the included membership interacts with an existing membership, and avoid making unsupported claims about eligibility, billing, or membership duration.",human,v1
twcs_5309,AmazonHelp,AmazonHelp,5310,5309,Sat Nov 25 23:50:44 +0000 2017,@AmazonHelp Yes.,@116932 Can you tell us when this information was submitted? Account Specialists can take up to 2 business days to investigate an account when the information has been sent. ^EZ,"CUSTOMER: @AmazonHelp Someone keeps trying to buy playstation cards on my account.  Having a hard time getting customer service
BRAND: @116932 Thanks for letting us know about this, Jon. We're here to help! We can be reached 24/7 here: https://t.co/hApLpMlfHN. Please do keep us in the loop. ^BL
CUSTOMER: @AmazonHelp Still not working.  They sent me a link to reset the password, try and sign in with new password and still locked out.
BRAND: @116932 Did information get sent to our Accounts Specialists to look into when you contacted in? ^DO
CUSTOMER: @AmazonHelp Yes.",5315|5313|5312|5311|5310|5309,5,account_issue,,true,Account appears compromised and the customer remains locked out despite password-reset attempts; account specialists need to investigate.,"Should acknowledge the ongoing account-access/security issue, confirm that the account specialists are investigating, and provide only the supported investigation timeframe or next step. Avoid requesting passwords, payment details, or other sensitive information, and avoid claiming the account is secure before investigation is complete.",human,v1
twcs_692,AmazonHelp,AmazonHelp,693,692,Tue Oct 31 22:10:21 +0000 2017,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,CUSTOMER: @AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,693|692,1,prime_subscription,,false,,"Should explain the Prime benefit based only on supported information, clarify that discounts apply to eligible physical game pre-orders, and avoid claiming that every game or pre-order qualifies.",human,v1
twcs_618,AmazonHelp,AmazonHelp,616,618,Tue Oct 31 23:22:08 +0000 2017,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,"CUSTOMER: Way to drop the ball on customer service @115821 so pissed right now!
BRAND: @115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN
CUSTOMER: @AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",617|615|616|618,3,package_not_received,,true,"The order is marked delivered but the customer did not receive it, and previous support interactions provided conflicting answers.","Should acknowledge that the package is marked delivered but was not received, offer the supported next step for investigating a missing delivered package, and avoid claiming where the package is or promising a refund or replacement without verification.",human,v1
twcs_4945,AmazonHelp,AmazonHelp,4947,4945,Sun Nov 26 00:25:49 +0000 2017,@AmazonHelp Solo dice “en reparto” pero no tiene un número de contacto con el repartidor que es de Amazon Services 😩,"@116874 Gracias por la información, Quirino.
Por favor, contacta con nuestros colegas de Servicio al Cliente para una atención personalizada y puedan darte información precisa sobre tu paquete.
Lo puedes hacer a través del siguiente enlace: https://t.co/beR78zMMYB
^LC","CUSTOMER: @116875 ¿como puedo trackear si esta próximo a ser entregado un paquete que tiene fecha de hoy? Gracias
BRAND: @116874 ¡Hola, Quirino! Lamentamos cualquier confusión generada, ¿te has puesto en contacto con el transportista asignado a la entrega? ^LC
CUSTOMER: @AmazonHelp No. Como puedo contactarlo
BRAND: @116874 Quirino al ingresar al correo de confirmación de compra te aparecerá un enlace en el cual esta el número de guía de tu pedido. También puedes utilizar la siguiente información para contactar con el transportista:  https://t.co/mEKBC5rf63 ^PC
CUSTOMER: @AmazonHelp Solo dice “en reparto” pero no tiene un número de contacto con el repartidor que es de Amazon Services 😩",4952|4951|4950|4949|4947|4945,5,delivery_issue,,false,,"Should acknowledge that the package is currently out for delivery, direct the customer to the supported customer-service or tracking channel for delivery information, and avoid providing or inventing a direct driver phone number.",human,v1
twcs_269,AmazonHelp,AmazonHelp,272,269,Wed Nov 22 09:14:39 +0000 2017,amazonのfireTVstickが見れない😢,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,CUSTOMER: amazonのfireTVstickが見れない😢,272|269,1,product_technical_issue,,false,,"Should acknowledge the Fire TV Stick problem, ask for or provide the relevant troubleshooting steps based on the known issue, and avoid claiming a specific technical cause without evidence.",human,v1
